#continuous	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
conditions	EXP0	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25	EXP26	EXP27	EXP28	EXP29	EXP30	EXP31	EXP32	EXP33	EXP34	EXP35	EXP36	EXP37	EXP38	EXP39	EXP40	EXP41	EXP42	EXP43	EXP44	EXP45	EXP46	EXP47	EXP48	EXP49	EXP50	EXP51	EXP52	EXP53	EXP54	EXP55	EXP56	EXP57	EXP58	EXP59	EXP60	EXP61	EXP62	EXP63	EXP64	EXP65	EXP66	EXP67	EXP68	EXP69	EXP70	EXP71	EXP72	EXP73	EXP74	EXP75	EXP76	EXP77	EXP78	EXP79	EXP80	EXP81	EXP82	EXP83	EXP84	EXP85	EXP86	EXP87	EXP88	EXP89	EXP90	EXP91	EXP92	EXP93	EXP94	EXP95	EXP96	EXP97	EXP98	EXP99
G11	0.740708533	0.88399698	0.494675439	0.792462058	0.519226262	0.516541139	0.460430138	0.345984054	0.472306455	0.048779203	0.059539955	0.123541575	0.843409355	0	0.615862894	0.429109221	0.069472301	0.809934459	0.379368634	0.831752301	0.525246876	0.338740569	0.41435983	0.395823465	0.812343951	0.56130478	0.872583597	0.172482206	0.815836737	0.148460251	0.814793733	0.05255901	0.576620825	0.220619796	0.682561455	0.342903256	0.325699792	0.875640116	0.78991273	0.79656331	0.589962983	0.041488265	0.16983496	0.366502286	0.791019852	0.784850351	0.427371041	0	0	0.030583896	0.50088804	0.69834373	0.513323768	0.073084673	0.449289072	0.465239408	0.459153234	0.220350203	0.785748392	0.869039334	0.327175461	0.663047087	0.39520737	0.231707305	0.324957224	0.75800486	0.555632978	0.407317822	0.383462241	0.458291533	0.78298317	0.08391459	0.70442733	0.082542954	0.076361125	0.445074682	0.014165832	0.601751492	0.847098892	0.84305537	0.223274635	0.274821815	0.600682807	0.034390084	0.879724647	0.385184224	0.837084497	0.832184128	0.392530109	0.013694187	0.078772341	0.108961606	0.334647528	0.31845186	0.672856296	0.421373335	0.84149782	0.236274352	0	0.08113582
G12	0.892968821	0.741986801	0.463595524	0.819334591	0.441091739	0.487336981	0.455438651	0.425087455	0.396248593	0	0	0.057260812	0.878855805	0.043812945	0.535671352	0.469860654	0.044969893	0.862482406	0.369969712	0.903871934	0.459245635	0.353755112	0.463656673	0.440547836	0.831423362	0.515350342	0.85281205	0.216964298	0.900330919	0.09345173	0.813068374	0.019027327	0.594443053	0.276797577	0.706107739	0.35087818	0.253231043	0.840168079	0.794534739	0.885556854	0.639525165	0.145035515	0.182493293	0.438463016	0.872044806	0.858710373	0.480179328	0.045932114	0.067352109	0.080416986	0.561338102	0.676137437	0.439749012	0.094066847	0.492803646	0.414150333	0.363410824	0.319495655	0.72943156	0.876209064	0.280409354	0.657601755	0.467766356	0.125006064	0.334555013	0.778776075	0.568048465	0.476761489	0.352417168	0.414673031	0.843512882	0.102565228	0.5752851	0.112585497	0.095683101	0.474344722	0.113999779	0.598224618	0.82396354	0.835606088	0.277558752	0.220313242	0.673457939	0.01679235	0.825115848	0.45863783	0.873422896	0.774892877	0.439603811	0	0.13671365	0.229932874	0.298815736	0.293058543	0.627787106	0.494790053	0.847912749	0.319406718	0.02061121	0.050863772
G13	0.84245634	0.874134835	0.539833588	0.846031278	0.384824938	0.438475724	0.366765785	0.443694318	0.369793939	0	0	0.091218061	0	0.042202129	0.622268886	0.445784207	0	0.81036385	0.402113883	0.815573373	0.446303801	0.416764009	0.506650556	0.372909051	0.811008197	0.609635365	0.866410793	0.142488846	0.949742406	0.177093326	0.835474753	0.006966597	0.593432246	0.213165315	0.663577786	0.31235522	0.239221349	0.844237694	0.817061695	0.821357872	0.581830029	0.059296378	0.028998546	0.381472246	0.897290145	0.824361712	0.315502037	0.047240134	0.040951367	0.163605698	0.501191158	0.742261894	0.475171235	0.062539955	0.444058063	0.474549944	0.455577731	0.277510384	0.75006254	0.822668805	0.392571957	0.654331472	0.448579013	0.233646249	0.509165655	0.8859166	0.493407944	0.355376061	0.389683029	0.402692455	0.865108418	0.042659559	0.638421283	0.164513634	0.039265676	0.471250786	0	0.599354006	0.884000718	0.820775354	0.249981708	0.252777004	0.624148754	0.029840364	0.854512408	0.379104944	0.899187046	0.82326638	0.475272831	0	0.100239711	0.135600059	0.346470726	0.316543461	0.639161854	0.433266433	0.828169116	0.246940025	0	0
G14	0.856346024	0.853345338	0.515716132	0.852444649	0.388188344	0.467866607	0.436127695	0.43458432	0.409823304	0.047345591	0	0.125291361	0.81288009	0	0.874304564	0.431143732	0.042005324	0.766751482	0.412832553	0.80223812	0.480418679	0.491958915	0.448225815	0.404228883	0.774832938	0.399497695	0.783868782	0.201084344	0.916855837	0.143692884	0.709698574	0	0.556705031	0.259443488	0.70936004	0.376120102	0.26339231	0.924011214	0.812676347	0.877723093	0.595437564	0.079104024	0.155525749	0.377273523	0.756392281	0.799266939	0.434457359	0.078050387	0.033006738	0.049646513	0.626789801	0.72297557	0.473969621	0.162985386	0.42836031	0.403920211	0.453826655	0.276276567	0.757503797	0.898752952	0.400639165	0.616550877	0.468293093	0.213134443	0.390995242	0.848556959	0.526225228	0.433529686	0.392240684	0.405920494	0.85223735	0.086938407	0.571670998	0.211756511	0.054467356	0.492078107	0.073547753	0.591418146	0.833110089	0.827688705	0.265344741	0.195653706	0.681637506	0.07555783	0.864176845	0.413455516	0.786626689	0.908283612	0.508801088	0.073358907	0.125931365	0.031413415	0.318114481	0.331184632	0.751991807	0.379681815	0.825835191	0.303838335	0.001848011	0
G15	0.864481793	0.817966931	0.483474625	0.874956343	0.464458123	0.425063157	0.438939101	0.373545981	0.36180219	0	0	0	0.885634248	0.069328922	0	0.44860264	0.110361733	0.802718312	0.419074117	0.904415159	0.488933699	0.420385494	0.467541982	0.426270327	0.721200418	0.505325599	0.865711159	0.170432217	0.795091437	0.081556696	0.827122811	0.003073597	0.608881691	0.271470228	0.623881025	0.31327871	0.249929788	0.859512783	0.83507997	0.847893427	0.651634741	0.099477433	0.127925038	0.467379089	0.853160987	0.798963657	0.387217232	0.046481459	0	0.126324168	0.530975357	0.718704355	0.464650154	0.102050704	0.455816447	0.481681794	0.444644205	0.233204099	0.727908051	0.784622361	0.342507535	0.653431343	0.458584115	0.178520786	0.398711698	0.814491795	0.452480524	0.423691431	0.387403999	0.407526903	0.848484049	0.022723873	0.676226939	0.175993572	0.016730129	0.411057955	0	0.590262569	0.870272096	0.784837766	0.244422406	0.230394855	0.625498782	0.025852915	0.87821963	0.327903618	0.883667982	0.893161995	0.362192605	0	0.006746577	0.039975586	0.281590374	0.263103624	0.650650549	0.552756435	0.847122318	0.279524174	0.068192947	0.001130818
G16	0.837821053	0.772967573	0.534096587	0.822129837	0.415538722	0.493341157	0.377085587	0.462025458	0.386530172	0.090294551	0	0.121183455	0.887484104	0	0.560316539	0.0122861	0.110722882	0.810100785	0.353437365	0.905102635	0.452968407	0.503172184	0.393414214	0.412290545	0.721047972	0.544118432	0.910827766	0.212955034	0.896284244	0.101414561	0.774363746	0	0.570952468	0.188792935	0.631683886	0.354399958	0.228128943	0.810702561	0.871618314	0.831681002	0.555754358	0	0.126025575	0.538674502	0.826102551	0.840153576	0.452347125	0.032389611	0.02128144	0.110323717	0.601706647	0.716596354	0.513731039	0.142343523	0.388443718	0.442211254	0.437344318	0.260070214	0.716803282	0.888818872	0.330933566	0.706062108	0.383035868	0.235871513	0.378626002	0.802010359	0.602311513	0.418390163	0.373132086	0.34928235	0.859574168	0.055787211	0.65804524	0.189573343	0.048910572	0.539191443	0.052831838	0.642121633	0.777831425	0.85594475	0.215667772	0.235400553	0.566256748	0.042079984	0.78292654	0.370728042	0.830195046	0.882841877	0.463774928	0	0.100586713	0.078210367	0.24842267	0.358726219	0.577514145	0.495180727	0.857722816	0.213878979	0.042544007	0.036727206
G17	0.864970816	0.847662542	0.58012642	0.876960419	0.463667099	0.488239588	0.403682399	0.413408261	0.419464915	0.043775845	0.022470208	0.167770914	0.843136099	0.008281976	0.590921195	0.515893217	0.021809641	0.815915732	0.361857502	0.801486544	0.42065097	0.422435263	0.437250089	0.375061169	0.763510987	0.446490698	0.786068883	0.165384413	0.826597478	0.10999054	0.7600192	0	0.50003606	0.211054704	0.758478113	0.414762209	0.222854999	0.864123081	0.773397388	0.801727419	0.630797438	0.026355485	0.085280036	0.42484145	0.828473238	0.895809654	0.465298534	0.053317513	0	0.028318069	0.540683522	0.693166626	0.517192742	0.06907565	0.456788419	0.470048285	0.464542246	0.242685588	0.668788993	0.887314988	0.342644467	0.602937205	0.417028461	0.243761863	0.376167521	0.813426101	0.510003847	0.451563572	0.440280886	0.383278339	0.824970899	0.004263041	0.554874915	0.176905473	0.094519112	0.442647586	0.011729709	0.605731968	0.819579079	0.845727528	0.199828332	0.324126911	0.679770235	0.116912977	0.834338393	0.422053585	0.727389287	0.858387146	0.445311198	0.039120364	0.06997417	0.043982303	0.359249127	0.257576306	0.633486935	0.454149436	0.811388174	0.241767362	0	0
G18	0.878791345	0.838987359	0.571543748	0.81178811	0.427250956	0.476713905	0.387003273	0.353347456	0.466950023	0	0	0.014838347	0.884235394	0.043465375	0.478669001	0.474557751	0.080120708	0.023950628	0.449773345	0.78969716	0.451245871	0.391479723	0.429382721	0.401647163	0.750338453	0.489097561	0.852607363	0.241781383	0.840131999	0.09258342	0.921040856	0.087253551	0.553364479	0.29777262	0.729251489	0.364134661	0.327463399	0.829282424	0.834631161	0.821314201	0.570249998	0.070811881	0.026582003	0.410334428	0.843851476	0.846684724	0.457363589	0.014953038	0	0.091392109	0.576790528	0.679278685	0.572145146	0.147493911	0.483482123	0.41714364	0.381817546	0.280802876	0.762368716	0.860337893	0.304415458	0.6233041	0.426132705	0.237116881	0.408297797	0.88081113	0.447583231	0.322435901	0.443436457	0.45141588	0.81324542	0.052561699	0.567937071	0.060756453	0.043270197	0.457964348	0.10236242	0.649203112	0.880095496	0.830426103	0.253546307	0.267282205	0.68843733	0.055071309	0.839265977	0.448436398	0.849633323	0.831333285	0.417086318	0.042534941	0.054269864	0.062624577	0.350909224	0.330873733	0.649636719	0.444321909	0.829008569	0.271649551	0.026503868	0.008539695
G19	0.873160076	0.816251279	0.53391591	0.773152885	0.454837568	0.503286532	0.425057066	0.443495869	0.404570546	0.006728995	0	0.073945386	0.895804412	0	0.569042738	0.5150268	0.058413021	0.867737848	0	0.861874519	0.483675288	0.49619745	0.480118974	0.399901923	0.711474737	0.466722485	0.862015947	0.158874711	0.871526148	0.087026079	0.738919013	0.008745385	0.604143056	0.280886801	0.656989534	0.310341486	0.324067617	0.8482549	0.817428784	0.866558028	0.66351648	0	0.196110628	0.486629626	0.855392707	0.863846108	0.39660745	0.019132899	0.033888667	0.076132117	0.579028372	0.733971553	0.419217968	0.085472156	0.449065428	0.425444332	0.480910208	0.274104115	0.649054989	0.828754838	0.39307922	0.769213439	0.457271197	0.156013849	0.332709383	0.803212569	0.500222834	0.454374094	0.360397421	0.40037624	0.793451848	0.042260002	0.656402971	0.139241598	0.088060954	0.426692429	0.013536008	0.669712295	0.834458646	0.775972502	0.171784355	0.23522723	0.633796443	0.08380367	0.84824123	0.348780142	0.887630991	0.82596733	0.425873417	0.060688324	0.04893848	0.090766983	0.318554957	0.232016274	0.606351388	0.478753653	0.898088805	0.261408169	0.035808475	0.039046059
G20	0.869626445	0.793934171	0.409755612	0.821985224	0.456381848	0.537410026	0.418217735	0.380278776	0.879443282	0	0.049307306	0.087348801	0.725740187	0.070645317	0.599483378	0.48298583	0.07523187	0.757323918	0.44749131	0	0.839547104	0.024780421	0.837882474	0.055469355	0	0.126650969	0.817268051	0.773787626	0.834456985	0.0623579	0.010218473	0.158281483	0.517822117	0.299880062	0.67176541	0.411891704	0.308425257	0.910745738	0.75144948	0.854383746	0.597016351	0	0.088796383	0.418409276	0.861217541	0.777880893	0.090053542	0.079453892	0.030436806	0.036480497	0.599138814	0.695166373	0.490026359	0.109023537	0.411220872	0.415710735	0.396512973	0.287725638	0.689445224	0.81769944	0.328918868	0.652728857	0.413931624	0.186664193	0.396364523	0.83910544	0.503036818	0.422558644	0.390180185	0.436566479	0.810261028	0	0.619526521	0.118887339	0.059386169	0.386950974	0.007391925	0.575799862	0.811985855	0.85237708	0.295729168	0.22069961	0.623391411	0.024973904	0.835160243	0.365324965	0.801043702	0.884866739	0.492321853	0.004272052	0.163799298	0.126668924	0.350468418	0.277280946	0.604326444	0.43385002	0.832411916	0.258080443	0	0
G21	0.851158302	0.866788487	0.53685693	0.79826115	0.465607774	0.491242815	0.376866998	0.384297648	0.414744508	0.04953175	0.099156896	0.106966164	0.893055108	0	0.612702968	0.455884971	0.116266063	0.838233322	0.464414625	0.815388969	6.67E-04	0.419053669	0.39454033	0.390691388	0.757609936	0.535369459	0.779143262	0.133505244	0.789626389	0.116545991	0.85368583	0.078250767	0.52530059	0.251153697	0.677820523	0.372915929	0.339991037	0.871871589	0.841349727	0.825063569	0.685960493	0	0.104349778	0.442164669	0.850078237	0.818291067	0.37528288	0.009899211	0.015332061	0.017124917	0.563539768	0.732510296	0.482420772	0.112181355	0.361303173	0.466453864	0.407116452	0.317351034	0.742627393	0.868883084	0.28507411	0.603278405	0.346330137	0.235374361	0.451433392	0.867578337	0.572957329	0.442009009	0.417390423	0.37009907	0.827665515	0.018327466	0.584158202	0.17196394	0.084066911	0.429928663	0.068865169	0.593069815	0.808136219	0.831438072	0.329165879	0.336907753	0.551592182	0.084334241	0.881544355	0.37296244	0.875896591	0.814554438	0.433608903	0	0.086906145	0.061728844	0.336789507	0.289797612	0.626305117	0.392047859	0.810517755	0.280269914	0.007074828	0
